id,artist_names,name,genres,acousticness,danceability,duration_ms,energy,speechiness,tempo,valence,
spotify:track:7tSZyaZS1hHZ87RcZ2jAeB,IZA,Que Se Vá,"r&b brasileiro,pop nacional,afrofuturismo brasileiro",0.482,0.776,144686,0.926,0.267,94.962,0.748,
spotify:track:7MLX5VV97CcXIpH2QUIy13,"GREGO, Paulo Pires, ÉaBest",Pane no Sistema,"piseiro,arrochadeira,arrocha",0.372,0.796,214091,0.901,0.154,175.939,0.947,
spotify:track:6UKciEto3KMpHm45ftSSzB,"Dj Vitor Lima, Dyamante DJ",Vai Novinha An An An,"no beat,funk rj",0.228,0.936,127385,0.662,0.0486,129.977,0.884,
spotify:track:7g7I8fjEERZH8DH3e6MUw7,"Gusttavo Lima, Ana Castela",Canudinho - Ao Vivo,"agronejo,arrocha,sertanejo universitario,sertanejo pop,sertanejo",0.242,0.706,124512,0.866,0.075,166.985,0.91,
spotify:track:6XvFnICxXsVc8OK4eh1E9b,Henry Freitas,Tem Café,forro,0.69,0.679,158123,0.913,0.234,135.929,0.791,
spotify:track:6GmyQws2xpUFIN5dXBNTrl,"AgroPlay, Ana Castela, LUDMILLA",Dia de Fluxo,"agronejo,funk carioca,pop nacional,pagode baiano,funk rj,sertanejo pop,sertanejo,funk pop",0.0916,0.821,133611,0.687,0.0551,129.906,0.869,
spotify:track:2gyxAWHebV7xPYVxqoi86f,Olivia Rodrigo,get him back!,pop,0.0135,0.546,211141,0.846,0.181,162.043,0.74,
spotify:track:161DnLWsx1i3u1JT05lzqU,Bruno Mars,Talking to the Moon,"pop,dance pop",0.511,0.498,217867,0.59,0.032,145.867,0.0784,
spotify:track:2d2K6DhHPBsi78K9E0cWrD,Marília Mendonça,Leão,"sertanejo universitario,sertanejo,arrocha",0.449,0.743,166775,0.865,0.0315,129.999,0.794,
spotify:track:1gKXrwKn5ub6wyefqMsnZp,"MC Braz, MC Gabluca",Joga na Cara,"funk bh,funk mtg",0.789,0.612,109846,0.415,0.119,87.449,0.913,
spotify:track:1eFlkymohjGtRnnYGabg8s,Tribalistas,Aliança,"nova mpb,brazilian rock,mpb",0.96,0.641,236970,0.314,0.032,132.983,0.335,
spotify:track:31qAPTyyuW3OmzmJQhrxal,Marília Mendonça,Hackearam-me,"sertanejo universitario,sertanejo,arrocha",0.395,0.613,201263,0.835,0.0844,130.149,0.618,
spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","canadian contemporary r&b,pop,canadian pop,k-pop",0.0545,0.522,244685,0.641,0.0318,87.51,0.202,
spotify:track:6CQWmtVuHcGGdWLfcpOpbp,"L7NNON, Veigh, Nagalli",Foto da Unha,"pop rap brasileiro,trap brasileiro,funk rj",0.467,0.816,199680,0.54,0.131,124.941,0.65,
spotify:track:3iam4WkRoqMoBBCwDFZNgd,Henrique & Juliano,Quase Algo - Ao Vivo Em Nova Iorque / 2022,"agronejo,sertanejo universitario,sertanejo,arrocha",0.39,0.359,178251,0.76,0.0513,154.136,0.496,
spotify:track:4v7UrPWZL4FJWeL5ZWQ62E,Henrique & Juliano,Seu Erro - Ao Vivo Em Nova Iorque / 2022,"agronejo,sertanejo universitario,sertanejo,arrocha",0.39,0.492,192438,0.821,0.0507,153.743,0.647,
